Security,Symbol,GICS Sector,GICS Sub Industry,Dividend Yield,Market Cap ($M),P/E Ratio
3M Company,MMM,Industrials,Industrial Conglomerates,0.02776927,114070.049747,19.7108495394
Abbott Laboratories,ABT,Health Care,Health Care Equipment,0.017990161,124963.095227,24.21875
AbbVie Inc.,ABBV,Health Care,Pharmaceuticals,0.0531413,121149.582977,9.90391908976
ABIOMED Inc,ABMD,Health Care,Health Care Equipment,0.0,15735.459548,143.309623431
Accenture plc,ACN,Information Technology,IT Consulting & Other Services,0.019229503,96995.585583,22.440652819
Activision Blizzard,ATVI,Communication Services,Interactive Home Entertainment,0.007112971,36473.82432,20.8444444444
Adobe Systems Inc,ADBE,Information Technology,Application Software,0.0,119568.307439,43.5492831541
Advanced Micro Devices Inc,AMD,Information Technology,Semiconductors,0.0,21917.000247,56.9722222222
Advance Auto Parts,AAP,Consumer Discretionary,Automotive Retail,0.0015663752,11168.775625,22.8922734027
AES Corp,AES,Utilities,Independent Power Producers & Energy Traders,0.034382873,10517.283967,12.0916030534
Affiliated Managers Group Inc,AMG,Financials,Asset Management & Custody Banks,0.010946908,5774.001654,6.97349936143
AFLAC Inc,AFL,Financials,Life & Health Insurance,0.021862519,36214.058442,11.9898734177
Agilent Technologies Inc,A,Health Care,Health Care Equipment,0.0089069927,23459.959427,26.0609318996
Air Products & Chemicals Inc,APD,Materials,Industrial Gases,0.028835995,35327.651313,21.4859060403
Akamai Technologies Inc,AKAM,Information Technology,Internet Services & Infrastructure,0.0,10657.952741,27.7094017094
Alaska Air Group Inc,ALK,Industrials,Airlines,0.02205419,7827.077335,14.5269058296
Albemarle Corp,ALB,Materials,Specialty Chemicals,0.017498041,8133.246673,14.4679849341
Alexandria Real Estate Equities Inc,ARE,Real Estate,Office REITs,0.030938523,13484.911031,19.4124031008
Alexion Pharmaceuticals,ALXN,Health Care,Biotechnology,0.0,27092.85499,17.9877862595
Align Technology,ALGN,Health Care,Health Care Supplies,0.0,18174.051051,45.5551020408
Allegion,ALLE,Industrials,Building Products,0.009977432,8002.744687,19.1241457859
"Allergan, Plc",AGN,Health Care,Pharmaceuticals,0.018424001,54188.361048,9.08801389693
Alliance Data Systems,ADS,Information Technology,Data Processing & Outsourced Services,0.012829891,9680.489595,8.42027605902
Alliant Energy Corp,LNT,Utilities,Electric Utilities,0.032946637,10174.079371,20.220657277
Allstate Corp,ALL,Financials,Property & Casualty Insurance,0.021358097,29673.701561,9.71283783784
Alphabet Inc Class A,GOOGL,Communication Services,Interactive Media & Services,0.0,766062.751457,24.3591359136
Alphabet Inc Class C,GOOG,Communication Services,Interactive Media & Services,0.0,758746.449158,30.8123200921
Altria Group Inc,MO,Consumer Staples,Tobacco,0.07233273,83128.972079,11.2556962025
Amazon.com Inc.,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,0.0,816856.320878,100.163076923
Ameren Corp,AEE,Utilities,Multi-Utilities,0.027965853,16597.456108,19.5057471264
American Airlines Group,AAL,Industrials,Airlines,0.011435106,16111.139576,7.8989010989
American Electric Power,AEP,Utilities,Electric Utilities,0.034895833,37870.757914,19.5050761421
American Express Co,AXP,Financials,Consumer Finance,0.015480797,86083.961888,13.6571038251
American International Group,AIG,Financials,Property & Casualty Insurance,0.029643354,38199.120935,18.4439655172
American Tower Corp.,AMT,Real Estate,Specialized REITs,0.020070486,73742.07281,23.4342291372
American Water Works Company Inc,AWK,Utilities,Water Utilities,0.019513241,16844.449516,28.1268882175
Ameriprise Financial,AMP,Financials,Asset Management & Custody Banks,0.029722588,16878.842929,8.45944055944
AmerisourceBergen Corp,ABC,Health Care,Health Care Distributors,0.020085363,16810.282886,12.2160493827
AMETEK Inc.,AME,Industrials,Electrical Components & Equipment,0.007851935,16554.511123,22.4376996805
Amgen Inc.,AMGN,Health Care,Biotechnology,0.029179454,126660.06913,13.8912103746
Amphenol Corp,APH,Information Technology,Electronic Components,0.010660486,26004.532009,22.5910290237
Anadarko Petroleum Corp,APC,Energy,Oil & Gas Exploration & Production,0.02559181,23645.731495,22.3349514563
"Analog Devices, Inc.",ADI,Information Technology,Semiconductors,0.019658033,36153.483542,16.3731092437
ANSYS,ANSS,Information Technology,Application Software,0.0,13507.47691,37.0659722222
Anthem Inc.,ANTM,Health Care,Managed Health Care,0.011001908,70526.526465,18.2527100271
Aon plc,AON,Financials,Insurance Brokers,0.010363365,37183.92276,18.3177458034
A.O. Smith Corp,AOS,Industrials,Building Products,0.018487395,8089.665077,19.4412955466
Apache Corporation,APA,Energy,Oil & Gas Exploration & Production,0.031191516,12168.169163,17.8764044944
Apartment Investment & Management (Aimco),AIV,Real Estate,Residential REITs,0.0316403,7477.149578,19.4979757085
Apple Inc.,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",0.018509128,746173.72128,13.0825610783
Applied Materials Inc.,AMAT,Information Technology,Semiconductor Equipment,0.02041337,37381.633688,8.68876404494
Aptiv Plc,APTV,Consumer Discretionary,Auto Parts & Equipment,0.012054795,19233.477243,13.9174664107
Archer-Daniels-Midland Co,ADM,Consumer Staples,Agricultural Products,0.030649588,24511.372075,12.6773255814
Arconic Inc.,ARNC,Industrials,Aerospace & Defense,0.012944983,8959.31354,13.776119403
Arista Networks,ANET,Information Technology,Communications Equipment,0.0,17141.608198,33.3147286822
Arthur J. Gallagher & Co.,AJG,Financials,Insurance Brokers,0.022312925,13498.422,19.5106951872
Assurant Inc.,AIZ,Financials,Multi-line Insurance,0.025199497,5910.016769,13.422253923
AT&T Inc.,T,Communication Services,Integrated Telecommunication Services,0.066536202,223143.48,8.8648255814
Autodesk Inc.,ADSK,Information Technology,Application Software,0.0,31116.775419,-88.6446540881
Automatic Data Processing,ADP,Information Technology,Internet Software & Services,0.023165457,59711.090189,31.1705069124
AutoZone Inc,AZO,Consumer Discretionary,Specialty Stores,0.0,20533.10303,15.380210325
"AvalonBay Communities, Inc.",AVB,Real Estate,Residential REITs,0.031502812,25799.242131,20.9557174888
Avery Dennison Corp,AVY,Materials,Paper Packaging,0.021399176,8428.236106,16.5527210884
"Baker Hughes, a GE Company",BHGE,Energy,Oil & Gas Equipment & Services,0.03065134,25837.393401,43.0377358491
